Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,marketCap,priceToBook,fiftyTwoWeekHigh,fiftyTwoWeekLow
2014-11-20 00:00:00+05:30,1088.0740314561865,1097.4286091995791,1076.5332358476635,1095.4105224609375,1795386,0.0,0.0,TCS.NS,14624319602688,14.408904,4592.25,3433.0
2014-11-21 00:00:00+05:30,1096.4824695265302,1109.9362421587575,1087.5062395408104,1102.4315185546875,2001594,0.0,0.0,TCS.NS,14624319602688,14.408904,4592.25,3433.0
2014-11-24 00:00:00+05:30,1102.3685839136156,1120.447092345456,1102.3685839136156,1117.3779296875,1942766,0.0,0.0,TCS.NS,14624319602688,14.408904,4592.25,3433.0
2014-11-25 00:00:00+05:30,1118.3450924029662,1126.5014027710977,1099.846151024872,1108.2547607421875,2371684,0.0,0.0,TCS.NS,14624319602688,14.408904,4592.25,3433.0
2014-11-26 00:00:00+05:30,1105.7529853487156,1116.8103253105442,1099.4254873496725,1104.5968017578125,1584800,0.0,0.0,TCS.NS,14624319602688,14.408904,4592.25,3433.0
2014-11-27 00:00:00+05:30,1104.5966432855132,1121.70813744713,1103.7557826127643,1115.52783203125,1732418,0.0,0.0,TCS.NS,14624319602688,14.408904,4592.25,3433.0
2014-11-28 00:00:00+05:30,1117.651648362974,1131.757011890637,1107.9817452395996,1111.197998046875,1989768,0.0,0.0,TCS.NS,14624319602688,14.408904,4592.25,3433.0
2014-12-01 00:00:00+05:30,1114.3505082308106,1135.1618080449684,1112.1432491596122,1132.19775390625,1896354,0.0,0.0,TCS.NS,14624319602688,14.408904,4592.25,3433.0
2014-12-02 00:00:00+05:30,1132.2190614721148,1139.765766585108,1113.8673156626123,1117.209716796875,1436572,0.0,0.0,TCS.NS,14624319602688,14.408904,4592.25,3433.0
2014-12-03 00:00:00+05:30,1123.3477251022678,1123.9783705789846,1100.8967871887944,1107.9810791015625,3094670,0.0,0.0,TCS.NS,14624319602688,14.408904,4592.25,3433.0
2014-12-04 00:00:00+05:30,1120.0265731473721,1121.2878643333488,1105.6898556091137,1109.0743408203125,1285308,0.0,0.0,TCS.NS,14624319602688,14.408904,4592.25,3433.0
